obs,name,address,total_staff,total_non_staff
121,Curacao #1,"1605 W Olympic Blvd, Suite 588, Los Angeles, CA, 90015",16,0
122,Curacao #2,"8401 Van Nuys Blvd, Ste 63, Panorama City, CA, 91402",6,0
123,CVS - Workman St,"2419 Workman St, Los Angeles, CA, 90031",8,0
124,"Day-Lee Foods, Inc.","13055 Molette St, Santa Fe Springs, CA, 90670",42,0
125,Decore-ative Specialties - Decore Finishing,"15875 Ornelas St, Baldwin Park, CA, 91706",26,0
126,Delta Hi Tech,"9600 De Soto Ave, Chatsworth, CA, 91311",24,0
127,Dependable Highway Express,"800 E 230th St, Carson, CA, 90745",12,0
128,DHL Global Mail,"3963 Workman Mill Rd, Unit A, Whittier, CA, 90601",50,0
129,"Dodge Chrysler Jeep Ram, Glenn E Thomas","2100 E Spring St, Signal Hill, CA, 90755",17,0
130,"Dodge Chrysler Jeep Ram, Hunter","1130 Auto Mall Dr, Lancaster, CA, 93534",11,0
131,"Dodge Chrysler Jeep Ram, Rydell","700 San Fernando Rd, San Fernando, CA, 91340",26,0
132,Dodge of Cerritos,"18803 Studebaker Rd, Cerritos, CA, 90703",22,0
133,Downey Fire Department - Fire Station 3,"9900 Paramount Blvd, Downey, CA, 90240",4,0
134,"Dytran Instruments, Inc.","21592 Marilla St, Chatsworth, CA, 91311",7,0
135,El Monte Police Department,"11333 Valley Blvd, El Monte, CA, 91731",12,0
136,Electronic Source Company,"16032 Arminta St, Van Nuys, CA, 91406",30,0
137,Environmental Health and Safety,"3271 East 19th St, Signal Hill, CA, 90755",3,0
138,Estes Express Line,"13327 Temple Ave, City of Industry, CA, 91746",12,0
139,Evans Food Group,"15430 Proctor Ave, City of Industry, CA, 91745",32,0
140,Everson Spice,"2667 Gundry Ave, Signal Hill, CA, 90755",8,0
141,"F. Gavina & Sons, Inc.","2700 Fruitland Ave, Vernon, CA, 90058",44,0
142,Fantasy Dyeing Finishing/Fantasy Activewear,"5383 Alcoa Ave, Vernon, CA, 90058",28,0
143,"Fashion Nova Logistics, Inc.","12588 Lakeland Rd, Santa Fe Springs, CA, 90670",246,0
144,FedEx Freight,"4500 Bandini Blvd, Vernon, CA, 90058",23,0
145,FedEx Ground Arcadia,"12369 Lower Azusa Rd, Arcadia, CA, 91006",130,0
146,FedEx Ground Carson,"1725 Charles Willard St, Carson, CA, 90746",51,0
147,FedEx Ground City of Industry,"200 Old Ranch Rd, City of Industry, CA, 91789",101,0
148,FedEx Ground Pacoima,"12500 Branford St, Pacoima, CA, 91331",164,0
149,FedEx Ground Sun Valley,"9210 San Fernando Rd, Sun Valley, CA, 91352",52,0
150,FedEx Ground Vernon,"2600 E 28th St, Vernon, CA, 90058",26,0
151,FedEx LAX,"5927 W Imperial Hwy, Los Angeles, CA, 90045",30,0
152,FedEx Ship Center,"11340 Sherman Way, Sun Valley, CA, 91352",16,0
153,"Feit Electric Company, Inc.","4901 Gregg Rd, Pico Rivera, CA, 90660",26,0
154,Fenix Marine Services,"614 Terminal Way, San Pedro, CA, 90731",15,0
155,Fleetwood-Fibre Packaging and Graphics,"15250 Don Julian Rd, City of Industry, CA, 91745",8,0
156,"Flores Design Fine Furniture, Inc.","4618 Pacific Blvd, Vernon, CA, 90058",56,0
157,Food 4 Less #314,"8530 Tobias Ave, Panorama City, CA, 91402",8,0
158,Food Pharma,"10012 Painter Ave, Santa Fe Springs, CA, 90670",41,0
159,"Ford, South Bay","5100 W Rosecrans Ave, Hawthorne, CA, 90250",18,0
160,Forever 21 - Montebello,"1800 Montebello Town Ctr, Montebello, CA, 90640",3,0
161,Foster Farms Compton,"1805 N Santa Fe Ave, Compton, CA, 90221",21,0
